,day,hour,number_token,capital,dca,number_token_sell,price_sell,number_token_buy,price_buy,trade,profit_day
0,26/02/2022,10:35:20,2471.157,15805618.97,6396.03998,84.0,0.5724,0.0,0.0,1.0,0.0
1,5/3/2022,15:37:40,2606.517,15805618.97,6063.884858,0.0,0.0,135.36,1e-10,0.0,0.0
2,5/3/2022,15:50:43,1616.517,515988.0847,319.1974379,990.0,0.6766,0.0,0.0,1.0,0.0
3,5/3/2022,20:35:04,2611.517,15805618.97,6052.274968,0.0,0.0,995.0,0.6732,1.0,0.0
4,5/3/2022,22:52:24,1620.137,343059.3587,211.7471292,991.38,0.6833,0.0,0.0,1.0,0.0
5,6/3/2022,8:18:02,2616.517,15713028.72,6005.322619,0.0,0.0,996.38,0.6758,1.0,0.0
6,07/03/2022,22:35:46,2688.757,16803314.618688002,6249.473127801436,0.0,0.0,72.24,0.6612,1.0,0.0
7,09/03/2022,10:02:44,774.317,-12745954.212240005,-16460.899363232376,1914.44,0.6762,0.0,0.0,1.0,0.0
8,09/03/2022,10:18:32,2697.617,16685440.972079994,6185.252010229767,0.0,0.0,1923.3,0.6704,1.0,0.0
9,11/03/2022,21:06:09,800.9270000000001,-12507599.345262008,-15616.403673820469,1896.69,0.6743,0.0,0.0,1.0,0.0
10,11/03/2022,21:06:44,2707.2070000000003,16580672.21141799,6124.641452027122,0.0,0.0,1906.28,0.6685,1.0,0.0
11,12/03/2022,12:55:49,724.4970000000003,16580672.21141799,22885.7706952796,1982.71,0.6618,0.0,0.0,1.0,0.0
12,12/03/2022,16:42:33,2717.2270000000003,16580672.21141799,6102.056328535668,0.0,0.0,1992.73,0.6561,1.0,0.0
13,12/03/2022,16:42:41,2717.2270000000003,16580672.21141799,6102.056328535668,0.0,0.0,0.0,0.0,0.0,110.71000000000016
14,12/03/2022,19:17:47,788.1270000000004,16580672.21141799,21038.07154356846,1929.1,0.6548,0.0,0.0,1.0,0.0
15,12/03/2022,19:21:42,2724.6070000000004,16580672.21141799,6085.528008779977,0.0,0.0,1936.48,0.6497,1.0,0.0
16,12/03/2022,23:15:00,841.5470000000005,16580672.21141799,19702.60984997627,1883.06,0.6486,0.0,0.0,1.0,0.0
17,12/03/2022,23:42:01,2729.617,16580672.21141799,6074.358494769775,0.0,0.0,1888.07,0.6443,1.0,0.0
18,13/03/2022,00:14:52,2729.617,16580672.21141799,6074.358494769775,0.0,0.0,0.0,0.0,0.0,123.10000000000002
19,13/03/2022,09:31:46,754.1470000000002,16580672.21141799,21985.99505324292,1975.47,0.6455,0.0,0.0,1.0,0.0
20,13/03/2022,10:40:29,2736.2070000000003,16580672.21141799,6059.728745456023,0.0,0.0,1982.06,0.6413,1.0,0.0
21,13/03/2022,14:06:29,767.0770000000002,16580672.21141799,21615.39481879653,1969.13,0.6447,0.0,0.0,1.0,0.0
22,13/03/2022,14:06:54,1782.0370000000005,16580672.21141799,9304.336672817672,0.0,0.0,1014.96,0.6405,1.0,0.0
23,13/03/2022,14:07:16,2746.4870000000005,16580672.21141799,6037.047403252951,0.0,0.0,964.45,0.637,1.0,0.0
24,13/03/2022,14:08:04,2746.4870000000005,16580672.21141799,6037.047403252951,0.0,0.0,0.0,0.0,0.0,139.97000000000037
